claim_evidence_id,claim_id,evidence_id,relation,executable_filter,expected_count,member_work_ids,source_locator,notes
CE-EFF-0001,CL-EFF-001,PAPER-EFF-dulacarnold2019challenges,context_or_metadata_support,none,not_applicable,dulacarnold2019challenges,Paper conceptual sections and modified control-suite testbed,Context or canonical paper-level support; no physical QE row is attributed to context works.
CE-EFF-0002,CL-EFF-001,PAPER-EFF-dulacarnold2021challenges,context_or_metadata_support,none,not_applicable,dulacarnold2021challenges,Article definitions and benchmark sections,Context or canonical paper-level support; no physical QE row is attributed to context works.
CE-EFF-0003,CL-EFF-001,QE-EFF-0335,supports,none,not_applicable,zhou2023realorl,PDF pp.1–2 abstract/introduction; p.5 dataset table; p.10 appendix summary; p.16 compute appendix,Direct typed evidence link.
CE-EFF-0004,CL-EFF-001,QE-EFF-0181,supports,none,not_applicable,kalashnikov2018qtopt,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,Direct typed evidence link.
CE-EFF-0005,CL-EFF-002,QE-EFF-0416,supports,none,not_applicable,yang2020dataefficientlegged,PDF p.2 contribution summary; p.8 conclusion,Direct typed evidence link.
CE-EFF-0006,CL-EFF-002,QE-EFF-0422,supports,none,not_applicable,wurss2023locality,PDF p.1 abstract; p.2 Table I; p.3 system; pp.5–6 Secs. IV–V,Direct typed evidence link.
CE-EFF-0007,CL-EFF-002,QE-EFF-0398,supports,none,not_applicable,stachowicz2023fastrlap,"PDF pp.2–7,10; p.14 Table 4",Direct typed evidence link.
CE-EFF-0008,CL-EFF-002,QE-EFF-0391,supports,none,not_applicable,luo2024serl,"PDF p.8 Table 2; pp.4,8",Direct typed evidence link.
CE-EFF-0009,CL-EFF-002,QE-EFF-0404,supports,none,not_applicable,zhan2022ferm,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,Direct typed evidence link.
CE-EFF-0010,CL-EFF-002,QE-EFF-0423,supports,none,not_applicable,lancaster2024modemv2,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,Direct typed evidence link.
CE-EFF-0011,CL-EFF-002,QE-EFF-0393,supports,none,not_applicable,liu2026autoserl,PDF p.10 Table 1; p.12 Table 2; limitation section,Direct typed evidence link.
CE-EFF-0012,CL-EFF-003,QE-EFF-0182,supports,none,not_applicable,kalashnikov2018qtopt,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,Direct typed evidence link.
CE-EFF-0013,CL-EFF-003,QE-EFF-0193,supports,none,not_applicable,kalashnikov2022mtopt,"PDF p.1 abstract; pp.15–17 appendix, Table IV",Direct typed evidence link.
CE-EFF-0014,CL-EFF-003,QE-EFF-0248,supports,none,not_applicable,chebotar2023qtransformer,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,Direct typed evidence link.
CE-EFF-0015,CL-EFF-003,QE-EFF-0072,supports,none,not_applicable,mendonca2025continuous,"PDF pp.4,7–8,16",Direct typed evidence link.
CE-EFF-0016,CL-EFF-004,QE-EFF-0183,supports,none,not_applicable,kalashnikov2018qtopt,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,Direct typed evidence link.
CE-EFF-0017,CL-EFF-004,QE-EFF-0194,supports,none,not_applicable,kalashnikov2022mtopt,"PDF p.1 abstract; pp.15–17 appendix, Table IV",Direct typed evidence link.
CE-EFF-0018,CL-EFF-004,QE-EFF-0249,supports,none,not_applicable,chebotar2023qtransformer,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,Direct typed evidence link.
CE-EFF-0019,CL-EFF-005,QE-EFF-0225,supports,none,not_applicable,singh2021cog,PDF p.8 Sec. 5.2 and real-robot table,Direct typed evidence link.
CE-EFF-0020,CL-EFF-005,QE-EFF-0236,supports,none,not_applicable,kumar2023ptr,PDF pp.7–9 Sec. 5; pp.14–16 appendix; p.21 appendix,Direct typed evidence link.
CE-EFF-0021,CL-EFF-005,QE-EFF-0247,supports,none,not_applicable,chebotar2023qtransformer,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,Direct typed evidence link.
CE-EFF-0022,CL-EFF-005,QE-EFF-0335,supports,none,not_applicable,zhou2023realorl,PDF pp.1–2 abstract/introduction; p.5 dataset table; p.10 appendix summary; p.16 compute appendix,Direct typed evidence link.
CE-EFF-0023,CL-EFF-005,QE-EFF-0214,supports,none,not_applicable,nair2020awac,PDF p.8 Sec. 6.3; p.17 appendix robot-experiment details,Direct typed evidence link.
CE-EFF-0024,CL-EFF-005,QE-EFF-0038,supports,none,not_applicable,walke2023ariel,Main PDF pp.6–7; supplement p.14 Table 5,Direct typed evidence link.
CE-EFF-0025,CL-EFF-006,QE-EFF-0173,supports,none,not_applicable,wu2023daydreamer,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,Direct typed evidence link.
CE-EFF-0026,CL-EFF-006,QE-EFF-0360,supports,none,not_applicable,lancaster2024modemv2,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,Direct typed evidence link.
CE-EFF-0027,CL-EFF-006,QE-EFF-0107,supports,none,not_applicable,sharma2026worldgymnast,"PDF pp.4–7,15–16; appendix A.4 Table 5",Direct typed evidence link.
CE-EFF-0028,CL-EFF-006,QE-EFF-0129,supports,none,not_applicable,yin2026playworld,"PDF pp.2,4–7,10,23",Direct typed evidence link.
CE-EFF-0029,CL-EFF-007,QE-EFF-0031,supports,none,not_applicable,liu2026autoserl,PDF p.10 Table 1; p.12 Table 2; limitation section,Direct typed evidence link.
CE-EFF-0030,CL-EFF-007,QE-EFF-0152,supports,none,not_applicable,zhan2022ferm,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,Direct typed evidence link.
CE-EFF-0031,CL-EFF-007,QE-EFF-0009,supports,none,not_applicable,luo2024serl,"PDF p.8 Table 2; pp.4,8",Direct typed evidence link.
CE-EFF-0032,CL-EFF-007,QE-EFF-0020,supports,none,not_applicable,luo2025hilserl,"PDF p.13 Table 1; pp.15,33–49",Direct typed evidence link.
CE-EFF-0033,CL-EFF-007,QE-EFF-0119,supports,none,not_applicable,zhao2025silri,"PDF pp.5,7,9–10,13 Table II",Direct typed evidence link.
CE-EFF-0034,CL-EFF-007,QE-EFF-0361,supports,none,not_applicable,lancaster2024modemv2,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,Direct typed evidence link.
CE-EFF-0035,CL-EFF-007,QE-EFF-0372,supports,none,not_applicable,sharma2023medalpp,PDF p.7 Figs. 5–6 and Table 6,Direct typed evidence link.
CE-EFF-0036,CL-EFF-008,QE-EFF-0020,supports,none,not_applicable,luo2025hilserl,"PDF p.13 Table 1; pp.15,33–49",Direct typed evidence link.
CE-EFF-0037,CL-EFF-008,QE-EFF-0119,supports,none,not_applicable,zhao2025silri,"PDF pp.5,7,9–10,13 Table II",Direct typed evidence link.
CE-EFF-0038,CL-EFF-009,QE-EFF-0045,supports,none,not_applicable,sun2022relmm,"PDF pp.1–2,5–6; Table 1",Direct typed evidence link.
CE-EFF-0039,CL-EFF-009,QE-EFF-0056,supports,none,not_applicable,hu2023reboot,PDF pp.7–8; appendix E/F p.20,Direct typed evidence link.
CE-EFF-0040,CL-EFF-009,QE-EFF-0265,supports,none,not_applicable,gupta2021resetfreemtl,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",Direct typed evidence link.
CE-EFF-0041,CL-EFF-009,QE-EFF-0364,supports,none,not_applicable,sharma2023medalpp,PDF p.7 Figs. 5–6 and Table 6,Direct typed evidence link.
CE-EFF-0042,CL-EFF-009,QE-EFF-0067,supports,none,not_applicable,mendonca2025continuous,"PDF pp.4,7–8,16",Direct typed evidence link.
CE-EFF-0043,CL-EFF-009,QE-EFF-0023,supports,none,not_applicable,liu2026autoserl,PDF p.10 Table 1; p.12 Table 2; limitation section,Direct typed evidence link.
CE-EFF-0044,CL-EFF-010,QE-EFF-0418,supports,none,not_applicable,cully2015adaptanimals,PDF p.1 abstract; Methods pp.18 and 20,Direct typed evidence link.
CE-EFF-0045,CL-EFF-010,QE-EFF-0417,supports,none,not_applicable,nagabandi2019metarl,PDF p.9 Sec. 5.4,Direct typed evidence link.
CE-EFF-0046,CL-EFF-010,QE-EFF-0399,supports,none,not_applicable,hu2025robottrainsrobot,"PDF pp.2,6",Direct typed evidence link.
