lifecycle_id,work_id,cost_channel,value,unit,denominator,reporting_status,component_or_proxy,evidence_locator,interpretation_limit
LC-EFF-0001,luo2024serl,active_human_time,NR,NR,NR,not_reported,none located,"PDF p.8 Table 2; pp.4,8",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0002,luo2024serl,standby_monitoring_time,NR,NR,NR,not_reported,none located,"PDF p.8 Table 2; pp.4,8",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0003,luo2024serl,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF p.8 Table 2; pp.4,8",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0004,luo2024serl,engineering_setup_time,NR,NR,NR,not_reported,none located,"PDF p.8 Table 2; pp.4,8",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0005,luo2024serl,safety_exposure,NR,NR,NR,not_reported,none located,"PDF p.8 Table 2; pp.4,8",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0006,luo2024serl,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,"PDF p.8 Table 2; pp.4,8",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0007,luo2024serl,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF p.8 Table 2; pp.4,8",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0008,luo2024serl,prior_data_cost,20 teleoperated demonstrations per task,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF p.8 Table 2; pp.4,8","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0009,luo2025hilserl,active_human_time,NR,NR,NR,not_reported,none located,"PDF p.13 Table 1; pp.15,33–49",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0010,luo2025hilserl,standby_monitoring_time,continuous intervention channel reported; operator-minutes NR,qualitative proxy,source-specific,proxy_only,qualitative or denominator-incomplete proxy,"PDF p.13 Table 1; pp.15,33–49",Proxy presence is not counted as quantitative lifecycle coverage.
LC-EFF-0011,luo2025hilserl,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF p.13 Table 1; pp.15,33–49",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0012,luo2025hilserl,engineering_setup_time,NR,NR,NR,not_reported,none located,"PDF p.13 Table 1; pp.15,33–49",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0013,luo2025hilserl,safety_exposure,NR,NR,NR,not_reported,none located,"PDF p.13 Table 1; pp.15,33–49",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0014,luo2025hilserl,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,"PDF p.13 Table 1; pp.15,33–49",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0015,luo2025hilserl,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF p.13 Table 1; pp.15,33–49",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0016,luo2025hilserl,prior_data_cost,demonstrations plus interventions,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF p.13 Table 1; pp.15,33–49","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0017,liu2026autoserl,active_human_time,NR,NR,NR,not_reported,none located,PDF p.10 Table 1; p.12 Table 2; limitation section,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0018,liu2026autoserl,standby_monitoring_time,NR,NR,NR,not_reported,none located,PDF p.10 Table 1; p.12 Table 2; limitation section,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0019,liu2026autoserl,reset_recovery_cost,NR,NR,NR,not_reported,none located,PDF p.10 Table 1; p.12 Table 2; limitation section,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0020,liu2026autoserl,engineering_setup_time,NR,NR,NR,not_reported,none located,PDF p.10 Table 1; p.12 Table 2; limitation section,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0021,liu2026autoserl,safety_exposure,NR,NR,NR,not_reported,none located,PDF p.10 Table 1; p.12 Table 2; limitation section,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0022,liu2026autoserl,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,PDF p.10 Table 1; p.12 Table 2; limitation section,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0023,liu2026autoserl,failed_development_runs,NR,NR,NR,not_reported,none located,PDF p.10 Table 1; p.12 Table 2; limitation section,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0024,liu2026autoserl,prior_data_cost,one demonstration plus selected recovery points,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,PDF p.10 Table 1; p.12 Table 2; limitation section,"An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0025,walke2023ariel,active_human_time,NR,NR,NR,not_reported,none located,Main PDF pp.6–7; supplement p.14 Table 5,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0026,walke2023ariel,standby_monitoring_time,NR,NR,NR,not_reported,none located,Main PDF pp.6–7; supplement p.14 Table 5,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0027,walke2023ariel,reset_recovery_cost,every 20–30,trials / approximately min,external reset cadence,source_reported_component,cadence only; duration/labor NR,Main PDF pp.6–7; supplement p.14 Table 5,Reported component does not constitute a full lifecycle-channel total.
LC-EFF-0028,walke2023ariel,engineering_setup_time,NR,NR,NR,not_reported,none located,Main PDF pp.6–7; supplement p.14 Table 5,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0029,walke2023ariel,safety_exposure,NR,NR,NR,not_reported,none located,Main PDF pp.6–7; supplement p.14 Table 5,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0030,walke2023ariel,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,Main PDF pp.6–7; supplement p.14 Table 5,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0031,walke2023ariel,failed_development_runs,NR,NR,NR,not_reported,none located,Main PDF pp.6–7; supplement p.14 Table 5,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0032,walke2023ariel,prior_data_cost,derived 22200 inherited trajectories across three datasets,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,Main PDF pp.6–7; supplement p.14 Table 5,"An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0033,sun2022relmm,active_human_time,NR,NR,NR,not_reported,none located,"PDF pp.1–2,5–6; Table 1",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0034,sun2022relmm,standby_monitoring_time,NR,NR,NR,not_reported,none located,"PDF pp.1–2,5–6; Table 1",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0035,sun2022relmm,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF pp.1–2,5–6; Table 1",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0036,sun2022relmm,engineering_setup_time,NR,NR,NR,not_reported,none located,"PDF pp.1–2,5–6; Table 1",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0037,sun2022relmm,safety_exposure,NR,NR,NR,not_reported,none located,"PDF pp.1–2,5–6; Table 1",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0038,sun2022relmm,wear_maintenance_downtime,about every 5,h,battery-service cadence,source_reported_component,cadence only; downtime minutes NR,"PDF pp.1–2,5–6; Table 1",Reported component does not constitute a full lifecycle-channel total.
LC-EFF-0039,sun2022relmm,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF pp.1–2,5–6; Table 1",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0040,sun2022relmm,prior_data_cost,"2,000-step startup curriculum",source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF pp.1–2,5–6; Table 1","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0041,hu2023reboot,active_human_time,<2,h,reset-demonstration collection,source_reported_component,reset demonstrations only,PDF pp.7–8; appendix E/F p.20,Reported component does not constitute a full lifecycle-channel total.
LC-EFF-0042,hu2023reboot,standby_monitoring_time,NR,NR,NR,not_reported,none located,PDF pp.7–8; appendix E/F p.20,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0043,hu2023reboot,reset_recovery_cost,0.608; 0.667; 0.367,success fraction,three learned reset policies,source_reported_component,outcome proxy; time/manual rescue NR,PDF pp.7–8; appendix E/F p.20,Reported component does not constitute a full lifecycle-channel total.
LC-EFF-0044,hu2023reboot,engineering_setup_time,NR,NR,NR,not_reported,none located,PDF pp.7–8; appendix E/F p.20,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0045,hu2023reboot,safety_exposure,NR,NR,NR,not_reported,none located,PDF pp.7–8; appendix E/F p.20,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0046,hu2023reboot,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,PDF pp.7–8; appendix E/F p.20,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0047,hu2023reboot,failed_development_runs,NR,NR,NR,not_reported,none located,PDF pp.7–8; appendix E/F p.20,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0048,hu2023reboot,prior_data_cost,prior replay buffers; reset demonstrations; 1200 goal images derived,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,PDF pp.7–8; appendix E/F p.20,"An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0049,mendonca2025continuous,active_human_time,NR,NR,NR,not_reported,none located,"PDF pp.4,7–8,16",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0050,mendonca2025continuous,standby_monitoring_time,NR,NR,NR,not_reported,none located,"PDF pp.4,7–8,16",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0051,mendonca2025continuous,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF pp.4,7–8,16",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0052,mendonca2025continuous,engineering_setup_time,mapping/fiducials/camera/prior controllers disclosed; labor time NR,qualitative proxy,source-specific,proxy_only,qualitative or denominator-incomplete proxy,"PDF pp.4,7–8,16",Proxy presence is not counted as quantitative lifecycle coverage.
LC-EFF-0053,mendonca2025continuous,safety_exposure,NR,NR,NR,not_reported,none located,"PDF pp.4,7–8,16",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0054,mendonca2025continuous,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,"PDF pp.4,7–8,16",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0055,mendonca2025continuous,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF pp.4,7–8,16",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0056,mendonca2025continuous,prior_data_cost,"mapping, fiducials, fixed camera, RRT*/procedural priors",source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF pp.4,7–8,16","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0057,stachowicz2023fastrlap,active_human_time,NR,NR,NR,not_reported,none located,"PDF pp.2–7,10; p.14 Table 4",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0058,stachowicz2023fastrlap,standby_monitoring_time,NR,NR,NR,not_reported,none located,"PDF pp.2–7,10; p.14 Table 4",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0059,stachowicz2023fastrlap,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF pp.2–7,10; p.14 Table 4",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0060,stachowicz2023fastrlap,engineering_setup_time,NR,NR,NR,not_reported,none located,"PDF pp.2–7,10; p.14 Table 4",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0061,stachowicz2023fastrlap,safety_exposure,collision events are discussed; common exposure denominator NR,qualitative proxy,source-specific,proxy_only,qualitative or denominator-incomplete proxy,"PDF pp.2–7,10; p.14 Table 4",Proxy presence is not counted as quantitative lifecycle coverage.
LC-EFF-0062,stachowicz2023fastrlap,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,"PDF pp.2–7,10; p.14 Table 4",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0063,stachowicz2023fastrlap,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF pp.2–7,10; p.14 Table 4",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0064,stachowicz2023fastrlap,prior_data_cost,RECON encoder pretraining and on-task lap data,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF pp.2–7,10; p.14 Table 4","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0065,hu2025robottrainsrobot,active_human_time,NR,NR,NR,not_reported,none located,"PDF pp.2,6",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0066,hu2025robottrainsrobot,standby_monitoring_time,NR,NR,NR,not_reported,none located,"PDF pp.2,6",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0067,hu2025robottrainsrobot,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF pp.2,6",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0068,hu2025robottrainsrobot,engineering_setup_time,teacher robot/tether/sensor integration disclosed; setup time NR,qualitative proxy,source-specific,proxy_only,qualitative or denominator-incomplete proxy,"PDF pp.2,6",Proxy presence is not counted as quantitative lifecycle coverage.
LC-EFF-0069,hu2025robottrainsrobot,safety_exposure,NR,NR,NR,not_reported,none located,"PDF pp.2,6",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0070,hu2025robottrainsrobot,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,"PDF pp.2,6",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0071,hu2025robottrainsrobot,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF pp.2,6",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0072,hu2025robottrainsrobot,prior_data_cost,domain-randomized simulation; 50k real transitions for swing-up pretraining,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF pp.2,6","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0073,sharma2026worldgymnast,active_human_time,NR,NR,NR,not_reported,none located,"PDF pp.4–7,15–16; appendix A.4 Table 5",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0074,sharma2026worldgymnast,standby_monitoring_time,NR,NR,NR,not_reported,none located,"PDF pp.4–7,15–16; appendix A.4 Table 5",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0075,sharma2026worldgymnast,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF pp.4–7,15–16; appendix A.4 Table 5",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0076,sharma2026worldgymnast,engineering_setup_time,NR,NR,NR,not_reported,none located,"PDF pp.4–7,15–16; appendix A.4 Table 5",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0077,sharma2026worldgymnast,safety_exposure,NR,NR,NR,not_reported,none located,"PDF pp.4–7,15–16; appendix A.4 Table 5",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0078,sharma2026worldgymnast,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,"PDF pp.4–7,15–16; appendix A.4 Table 5",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0079,sharma2026worldgymnast,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF pp.4–7,15–16; appendix A.4 Table 5",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0080,sharma2026worldgymnast,prior_data_cost,"Open-X checkpoint, OpenVLA-OFT, BridgeData V2",source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF pp.4–7,15–16; appendix A.4 Table 5","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0081,zhao2025silri,active_human_time,NR,NR,NR,not_reported,none located,"PDF pp.5,7,9–10,13 Table II",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0082,zhao2025silri,standby_monitoring_time,operator remains enabled; operator-minutes NR,qualitative proxy,source-specific,proxy_only,qualitative or denominator-incomplete proxy,"PDF pp.5,7,9–10,13 Table II",Proxy presence is not counted as quantitative lifecycle coverage.
LC-EFF-0083,zhao2025silri,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF pp.5,7,9–10,13 Table II",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0084,zhao2025silri,engineering_setup_time,NR,NR,NR,not_reported,none located,"PDF pp.5,7,9–10,13 Table II",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0085,zhao2025silri,safety_exposure,NR,NR,NR,not_reported,none located,"PDF pp.5,7,9–10,13 Table II",No complete quantitative value for this lifecycle channel was located; NR is not zero.
