time_id,work_id,phase,task_scope,clock_basis,duration_value,duration_unit,target_definition,threshold_rule_available,evaluator_or_checkpoint,boundary_start,boundary_end,partial_scope,evidence_locator,source_grade,reporting_status,interpretation_limit
TIME-EFF-0001,luo2024serl,target_online_learning,PCB insertion,elapsed_wall_clock,20,min,near-perfect task policy,source_declared_qualitative,final 100-trial task-success row,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task/policy scope,"PDF p.8 Table 2; pp.4,8",A,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0002,luo2024serl,target_online_learning,cable routing,elapsed_wall_clock,31,min,near-perfect task policy,source_declared_qualitative,final 100-trial task-success row,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task/policy scope,"PDF p.8 Table 2; pp.4,8",A,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0003,luo2024serl,target_online_learning,paired relocation policies,elapsed_wall_clock,105,min,near-perfect task policy,source_declared_qualitative,final 100-trial task-success row,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task/policy scope,"PDF p.8 Table 2; pp.4,8",A,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0004,luo2025hilserl,target_online_learning,RAM insertion,elapsed_wall_clock,1.5,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0005,luo2025hilserl,target_online_learning,SSD assembly,elapsed_wall_clock,1,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0006,luo2025hilserl,target_online_learning,USB grasp-insertion,elapsed_wall_clock,2.5,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0007,luo2025hilserl,target_online_learning,cable clipping,elapsed_wall_clock,1.25,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0008,luo2025hilserl,target_online_learning,IKEA side panel 1,elapsed_wall_clock,2,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0009,luo2025hilserl,target_online_learning,IKEA side panel 2,elapsed_wall_clock,1.75,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0010,luo2025hilserl,target_online_learning,IKEA top panel,elapsed_wall_clock,1,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
