work_id,title,year,venue,doi,arxiv_id,official_paper_url,project_url,code_url,code_status,license,last_verified,screening_status,real_robot_tier,topic_evidence_tier,efficiency_claim_tier,peer_review_status,robot_platform,embodiment,tasks,real_robot_training,evidence_locator,success_definition,success_result,evaluation_trials,reported_phase_duration,real_steps,real_episodes,control_frequency_hz,robot_hours,wall_clock_hours,num_parallel_robots,compute,demo_count,reset_type,reward_engineering,prior_data,wear_safety,claimed_reduction,reduction_type,hidden_or_displaced_cost,source_verified_against_original,source_grade,limitations
luo2024serl,SERL: A Software Suite for Sample-Efficient Robotic Reinforcement Learning,2024,ICRA 2024,10.1109/ICRA57147.2024.10610040,2401.16013,https://doi.org/10.1109/ICRA57147.2024.10610040,https://serl-robot.github.io/,https://github.com/rail-berkeley/serl,official_public,Apache-2.0,2026-07-31,included_core,R3,core,E2,peer_reviewed,Franka arm,fixed-base manipulator,PCB insertion; cable routing; object relocation,true,"PDF p.8 Table 2; pp.4,8",100-trial task success,100/100 on each listed task row,100,20 min PCB; 31 min cable; 105 min paired relocation,NR,NR,NR,NR,20; 31; 105 minutes as task/pair wall-clock,1,1× RTX 4090,20,random end-effector reset; alternating forward/backward policies,task-specific learned reward/classifier details in paper,20 teleoperated demonstrations per task,Physical setup and safety engineering; wear NR,Minute-scale convergence in engineered tasks,new physical interaction and wall-clock,"Demonstration collection, setup, reward labeling, capital and personnel cost NR",true,A,Relocation time covers two policies; full lifecycle cost not reported
luo2025hilserl,Precise and Dexterous Robotic Manipulation via Human-in-the-Loop Reinforcement Learning,2025,Science Robotics 10(105):eads5033,10.1126/scirobotics.ads5033,2410.21845,https://doi.org/10.1126/scirobotics.ads5033,https://hil-serl.github.io/,https://github.com/rail-berkeley/hil-serl,official_public,Apache-2.0,2026-07-31,included_core,R3,core,E3,peer_reviewed,Franka arms and task fixtures,fixed-base manipulation,"12 individually trained policies across insertion, assembly, cable, handover, belt, Jenga and flipping",true,"PDF p.13 Table 1; pp.15,33–49",Task-specific success over usually 100 trials,100% on listed individual tasks; composite IKEA whole assembly uses 10 trials,usually 100; composite 10,1–6 h per policy,derived 438000 across appendix task rows,NR,NR,NR,1–6 h per policy,NR,NR,20 initial demonstrations for 11 policies; 30 for Jenga; derived 250 total,scripted for some tasks; human reset for others,reward-classifier data and task-specific setup,demonstrations plus interventions,Human monitoring/intervention; safety details task-specific,High success within task-level hours,online interaction/time relative to baselines,"Operator-minutes, unattended duty cycle, baseline/demo/reward-data/setup totals NR",true,A,Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
liu2026autoserl,One Demonstration Is Enough for Real-World Robotic Reinforcement Learning,2026,arXiv preprint,,2607.01651,https://arxiv.org/abs/2607.01651,https://autoserl.github.io/,https://github.com/autoserl/AutoSERL,official_public,NR,2026-07-31,included_core,R3,core,E3,preprint,robot manipulators; exact platforms in paper,fixed-base manipulation,six physical manipulation tasks,true,PDF p.10 Table 1; p.12 Table 2; limitation section,50/50 evaluation success,50/50 for all six tasks,50,8–45 min per task,NR,NR,NR,NR,8–45 min per task,NR,NR,1,automatic recovery along one reference trajectory,sliding-window/stagnation thresholds,one demonstration plus selected recovery points,Failure recovery limited outside modeled trajectory distribution,Automated correction with one demonstration,human intervention and online time,"Recovery-point selection, thresholds, environment engineering, setup labor NR",true,B,Preprint; restricted failure model; no end-to-end labor accounting
walke2023ariel,Don't Start From Scratch: Leveraging Prior Data to Automate Robotic Reinforcement Learning,2023,PMLR 205 (CoRL),,,https://proceedings.mlr.press/v205/walke23a.html,https://sites.google.com/view/ariel-berkeley/,,no_official_release_located,NR,2026-07-31,included_core,R3,core,E3,peer_reviewed,three real-robot manipulation domains,fixed-base manipulation,seven transfer tasks,true,Main PDF pp.6–7; supplement p.14 Table 5,task success at trial checkpoints,task-specific results in paper,NR,100 trials≈1.5 h for four demo-assisted tasks; 600 trials≈9 h for three direct-transfer tasks,derived 361000 inherited transitions,100 or 600,NR,"derived inherited corpus, not new-task hours",1.5 or 9 h new-task checkpoints,1,NR,about 40 for demonstration-assisted setting,external reset every 20–30 trials,task-specific sparse reward/goal definitions,derived 22200 inherited trajectories across three datasets,Residual external reset burden; wear NR,Reduce new-task exploration by reusing prior data,new-task real interaction,Large inherited corpus; about 40 new demonstrations on some tasks,true,A,Inherited corpus totals are derived; method is mostly rather than fully autonomous
sun2022relmm,Fully Autonomous Real-World Reinforcement Learning with Applications to Mobile Manipulation,2022,PMLR 164 (CoRL),,2107.13545,https://proceedings.mlr.press/v164/sun22a.html,https://sites.google.com/view/relmm/,,no_official_release_located,NR,2026-07-31,included_core,R4,core,E2,peer_reviewed,mobile manipulator,mobile manipulation,room cleanup and grasp-learning environments,true,"PDF pp.1–2,5–6; Table 1",three 15-minute evaluations per environment,task-specific mean±SD in Table 1,3 evaluation windows,about 25–50 h per environment run; headline approximately 40–60 h,NR,NR,NR,25–50 h per run; 40–60 h headline,same as robot interaction within disclosed maintenance,1,NR,0,successful grasp pseudo-reset; optional stationary curriculum,learned reward/task decomposition,"2,000-step startup curriculum",Battery changes about every 5 h; optional human object replacement,Long-duration autonomous physical learning,unattended collection and manual-reset reduction,Battery maintenance and occasional object replacement; only one training run per environment,true,A,Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
hu2023reboot,REBOOT: Reuse Data for Bootstrapping Efficient Real-World Dexterous Manipulation,2023,PMLR 229 (CoRL),,2309.03322,https://proceedings.mlr.press/v229/hu23a.html,https://sites.google.com/view/reboot-dexterous/,,no_official_release_located,NR,2026-07-31,included_core,R4,core,E3,peer_reviewed,custom dexterous hand/camera system,dexterous manipulation,"3-prong, T-pipe, football in-hand tasks",true,PDF pp.7–8; appendix E/F p.20,task-specific success threshold,6 h to comparable 80%; 6 h to 60%; 5 h to 30% on listed comparisons,NR,6 h versus >10 h; 6 versus 13 h; 5 h versus ≥16 h comparison,NR,NR,NR,NR,5–6 h method runs in cited comparisons,1,NR,0 task demonstrations; 220 reset demonstrations derived across objects,learned reset policies; two mixed 80/20,400 goal images per task,prior replay buffers; reset demonstrations; 1200 goal images derived,Reset success 0.608/0.667/0.367; wear and manual rescues NR,Faster dexterous learning through replay reuse and learned resets,online wall-clock and manual-reset frequency,"Prior buffers, 220 reset demonstrations, 1,200 goal images, custom hardware",true,A,Online loop autonomy begins after substantial setup; reset reliability is imperfect
mendonca2025continuous,Continuously Improving Mobile Manipulation with Autonomous Real-World RL,2025,PMLR 270 (CoRL),,2409.20568,https://proceedings.mlr.press/v270/mendonca25a.html,https://continual-mobile-manip.github.io/,,no_official_release_located,NR,2026-07-31,included_core,R4,core,E1,peer_reviewed,Boston Dynamics Spot; second Spot on sweeping,mobile manipulation,"chair, dustpan, sweeping and one additional task",true,"PDF pp.4,7–8,16",final task success,"100%, 80%, 60%, 80%; 80% unweighted average",NR,8–15 h per robot training run,NR,NR,NR,8–15 h per run,8–15 h per run,1,local A5000; cloud A100,0,goal cycles; second robot resets sweeping object,"vision models, hand-specified goals and behavior priors","mapping, fiducials, fixed camera, RRT*/procedural priors",collision-map clipping; repeated-grasp attempts; maintenance NR,Autonomous continual real-world RL without demonstrations,manual reset and demonstration cost,"Mapping, five fiducials, fixed camera, prior controllers, second robot, cloud vision compute",true,A,"8–15 h is per run, not total study budget; trial denominator NR"
stachowicz2023fastrlap,FastRLAP: A System for Learning High-Speed Driving via Deep RL and Autonomous Practicing,2023,PMLR 229 (CoRL),,2304.09831,https://proceedings.mlr.press/v229/stachowicz23a.html,https://sites.google.com/view/fastrlap,https://github.com/kylestach/fastrlap-release,official_public,MIT,2026-07-31,included_core,R3,core,E3,peer_reviewed,small autonomous ground vehicle,mobile navigation/driving,high-speed closed-course driving,true,"PDF pp.2–7,10; p.14 Table 4",near-expert lap performance,two courses approach human performance after 30 min,NR,typically <20 min and as little as 5 min; figures extend to 30–40 min,NR,NR,NR,NR,5–40 min depending claim/plot,1,NR,"one manually driven slow lap, usually <1 min",scripted collision/stuck detection and reverse steering,sparse checkpoints from route lap,RECON encoder pretraining and on-task lap data,Collision counts reported; recovery success/latency/manual rescue NR,Minute-scale autonomous online driving practice,online wall-clock and intervention reduction,Inherited manually collected RECON data and target-course route lap,true,A,Headline under-20-minute claim must be kept beside longer plot horizon
hu2025robottrainsrobot,Robot Trains Robot: Automatic Real-World Policy Adaptation and Learning for Humanoids,2025,CoRL 2025,,2508.12252,https://openreview.net/forum?id=oRwcxFuN25,https://robot-trains-robot.github.io/,https://github.com/hukz18/Robot-Trains-Robot,official_public,MIT,2026-07-31,included_core,R3,core,E3,peer_reviewed,"ToddlerBot plus UR5 teacher, ATI Mini45 and optional treadmill",humanoid locomotion/control,walking adaptation and swing-up,true,"PDF pp.2,6",task-specific learning curves over 3 seeds,headline successful adaptation; exact endpoint by plot,NR,20 min walking; 15 min swing-up headline,50000 suboptimal transitions for swing-up pretraining stage,NR,NR,NR,20 and 15 min headline,1,learning workstation; exact GPU NR,0,teacher detects failure and physically lifts/steps robot,teacher force/pitch signals and task-specific stages,domain-randomized simulation; 50k real transitions for swing-up pretraining,Teacher tether and F/T sensor; reset success/latency NR,Replace recurring operator handling with teacher robot,human labor and wall-clock,"UR5 teacher, tether, sensor, optional treadmill, simulation and offline stage",true,A,Unclear whether 15 min includes all three swing-up stages; operator monitoring NR
sharma2026worldgymnast,World-Gymnast: Training Robots with Reinforcement Learning in a World Model,2026,arXiv preprint,,2602.02454,https://arxiv.org/abs/2602.02454,https://world-gymnast.github.io/,https://github.com/world-gymnast/world-gymnast,official_public,MIT,2026-07-31,included_core,R3,core,E3,preprint,AutoEval robot setup,fixed-base manipulation,four AutoEval tasks,false,"PDF pp.4–7,15–16; appendix A.4 Table 5",real-robot task success,task-specific results in Tables 1–2,10 trials repeated 5 times per policy-task,main RL 1–2 days in model; optional ~100 real trajectories/task,NR,~100 real trajectories/task in optional Dyna experiment,NR,NR,24–48 h compute for full-parameter RL,NR,4×H200 140GB for RL; 2×A100 80GB and 580k world-model steps,BridgeData/OpenVLA expert data; optional real trajectories,AutoEval reset policy,GPT-4o scores ≤40-step imagined rollouts,"Open-X checkpoint, OpenVLA-OFT, BridgeData V2",Reset reliability/latency NR,Move main RL from robot into learned world model,physical interaction,"Large pretrained assets, 4×H200 RL, 2×A100 world-model training, GPT-4o scoring",true,B,Main experiment is not online physical RL; total inherited data collection is not reported
zhao2025silri,Real-world Reinforcement Learning from Suboptimal Interventions,2025,arXiv preprint,,2512.24288,https://arxiv.org/abs/2512.24288,https://silri-rl.github.io/,https://github.com/nuomizai/HIL-RL,official_public,Apache-2.0,2026-07-31,included_core,R3,core,E3,preprint,UR5 and Franka in arXiv v1,fixed-base manipulation,eight tasks in arXiv v1,true,"PDF pp.5,7,9–10,13 Table II",15-trial disturbance and original-setting success,disturbance 0.93/0.47/0.53/0.80; original 1.00/0.67/1.00/0.87 on four tasks,15,40–65 min per task,NR,NR,NR,NR,40–65 min per task,1,NR,20,human scene reset; full-demonstration fallback after repeated failures,task-specific classifier trained from same demonstrations,20 demonstrations per task; live interventions,Human always enabled except debugging; operator minutes NR,Use suboptimal intervention data efficiently,online time relative to HIL baselines,"20 demos/task, live intervention, resets, reward correction and SOP",true,B,Operator-minutes/event counts absent; project page and arXiv v1 scope differ
yin2026playworld,PlayWorld: Learning Robot World Models from Autonomous Play,2026,arXiv preprint,,2603.09030,https://arxiv.org/abs/2603.09030,https://robot-playworld.github.io/,,no_method_code_located,NR,2026-07-31,included_core,R3,core,E3,preprint,DROID hardware setup,fixed-base manipulation,task-agnostic play plus downstream tasks,true,"PDF pp.2,4–7,10,23",physical trials per checkpoint,up to +65 percentage points versus baseline video model on two tasks,20,up to 8 h continuous collection; 30 h total play; world model 2 days,NR,10–20 imagined episodes; physical data in hours,NR,30,30 h play; 48 h world-model compute,1,8×H200 for 2 days,5–10 demonstrations for downstream diffusion policies,VLM detects boundary cases; pretrained VLA retrieves objects; occasional scene reset,progress reward from small demonstration set,DROID-pretrained world model and pretrained VLA,joint-limit filter; occasional monitoring and scene resets,Replace some task-specific teleoperation with autonomous play,human data and physical downstream RL,"30 robot-hours, pretrained assets, 8×H200, demonstrations, annotations, monitoring/resets",true,B,No method-specific code; end-to-end cost and reset metrics NR
dulacarnold2019challenges,Challenges of Real-World Reinforcement Learning,2019,ICML 2019 Workshop on Reinforcement Learning for Real Life,,1904.12901,https://mlanthology.org/icmlw/2019/dulacarnold2019icmlw-challenges/,,,not_applicable,NR,2026-07-31,included_context,R0,context,E0,workshop,simulation benchmark only,context,nine real-world RL challenges,false,Paper conceptual sections and modified control-suite testbed,not physical robot evidence,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,benchmark perturbations and constraints,conceptual/benchmark context,NR,Defines real-world constraints,measurement framework,NR,true,A,Cannot support empirical robot hours or labor claims
dulacarnold2021challenges,"Challenges of Real-World Reinforcement Learning: Definitions, Benchmarks and Analysis",2021,Machine Learning 110:2419–2468,10.1007/S10994-021-05961-4,,https://doi.org/10.1007/S10994-021-05961-4,,https://github.com/google-research/realworldrl_suite,official_public,Apache-2.0,2026-07-31,included_context,R0,context,E0,peer_reviewed,simulation benchmark only,context,formal real-world RL challenge suite,false,Article definitions and benchmark sections,not physical robot evidence,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,realworldrl-suite constraints,benchmark suite,NR,Formalizes real-world RL constraints,measurement framework,NR,true,A,Cannot support empirical robot hours or labor claims
