mechanism_id,level1,level2,level3,definition,work_ids,physical_evidence_tiers,core_tradeoff,failure_modes
EFF-M01,"Reduce marginal online interaction","Direct online update efficiency","Off-policy replay and actor-critic reuse","Reuse each newly collected physical transition for multiple gradient updates instead of discarding it after one policy update.","luo2024serl;luo2025hilserl;haarnoja2019walk;riedmiller2018sacx;wurss2023locality","luo2024serl:R3/E2;luo2025hilserl:R3/E3;haarnoja2019walk:R3/E1;riedmiller2018sacx:R3/E1;wurss2023locality:R3/E3","Higher update efficiency can reduce physical samples but increases sensitivity to replay distribution, reward quality and implementation latency.","critic divergence; stale replay; narrow task envelope; compute stalls; unsafe early exploration"
EFF-M02,"Reduce marginal online interaction","Model-based learning","Black-box dynamics and policy search","Learn a dynamics/performance surrogate from a small number of physical trials and optimize actions or policies through the surrogate.","yang2020dataefficientlegged;chatzilygeroudis2017blackdrops","yang2020dataefficientlegged:R3/E1;chatzilygeroudis2017blackdrops:R3/E2","Small physical trial counts are exchanged for model bias, planning/optimization compute and designed action spaces or costs.","model error under contact; optimizer exploitation; long compute between trials; narrow local validity"
EFF-M03,"Reduce marginal online interaction","Model-based learning","Online latent world-model planning","Fit a compact predictive model during physical learning and improve behavior primarily through imagined rollouts or planning.","wu2023daydreamer;lancaster2024modemv2","wu2023daydreamer:R3/E2;lancaster2024modemv2:R3/E2","Hours of physical data may suffice, but reward engineering, representation error, model compute and task-specific resets remain.","model hallucination; compounding error; reward-model mismatch; contact dynamics underfit"
EFF-M04,"Reduce marginal online interaction","Representation and goal learning","Contrastive representations and imagined goals","Pretrain or self-supervise visual features/goals so online RL does not learn perception and control entirely from sparse task reward.","zhan2022ferm;nair2018rig","zhan2022ferm:R3/E2;nair2018rig:R3/E2","Better representations reduce target-task samples but introduce pretraining data, augmentation choices and latent-reward bias.","representation ignores contact cues; latent distance misaligns with task success; transfer distribution shift"
EFF-M05,"Reduce marginal online interaction","Constrained policy improvement","Residual policy around an engineered controller","Learn only a corrective residual on top of an existing controller rather than relearning the full policy.","johannink2019residual","johannink2019residual:R3/E3","Physical exploration shrinks, but controller design and optional simulator development become one-time costs.","base controller limits reachable behavior; residual overrides safety; transfer fails outside controller basin"
EFF-M06,"Reduce marginal online interaction","Task decomposition","Scheduled auxiliary intentions","Train easier auxiliary behaviors and schedule them so sparse-reward target skills receive useful experience.","riedmiller2018sacx","riedmiller2018sacx:R3/E1","No demonstrations are needed, but auxiliary reward design and long physical training remain.","auxiliary tasks compete; scheduler neglects target; reward engineering dominates"
EFF-M07,"Reduce marginal online interaction","Trial-limited policy search","One-step or few-episode black-box optimization","Exploit one-step task structure or data-efficient black-box search to learn from a bounded number of physical attempts.","tebbe2021tabletennis;chatzilygeroudis2017blackdrops","tebbe2021tabletennis:R3/E1;chatzilygeroudis2017blackdrops:R3/E2","Episode count can be small while physical cycle time, reset handling and between-trial optimization remain unmeasured.","trial-to-trial nonstationarity; poor state coverage; expensive physical cycle; no wall-clock accounting"
EFF-M08,"Compress elapsed time","Parallel physical actors","Homogeneous robot fleet collection","Run multiple comparable robots concurrently and aggregate their experience into one learner or dataset.","kalashnikov2018qtopt;kalashnikov2022mtopt;chebotar2023qtransformer","kalashnikov2018qtopt:R4/E2;kalashnikov2022mtopt:R4/E2;chebotar2023qtransformer:R2/E2","Calendar throughput improves, but aggregate robot-hours, capital, maintenance, object logistics and dataset curation increase.","fleet calibration drift; correlated failures; learner bottleneck; maintenance and staffing dominate"
EFF-M09,"Compress elapsed time","External physical automation","Teacher or helper robot","Use another robot to lift, reposition or otherwise restore the learner so training continues without recurring direct handling.","hu2025robottrainsrobot;mendonca2025continuous","hu2025robottrainsrobot:R3/E3;mendonca2025continuous:R4/E1","Operator handling can fall, but a second robot, force sensing, calibration and coordination replace it.","teacher collision; synchronization failure; helper becomes task-specific fixture; capital cost exceeds saved labor"
EFF-M10,"Compress elapsed time","Fast online systems","Overlapped collection and learning on local accelerators","Engineer the learner, replay, control and recovery path so policy updates occur during continued physical practice.","luo2024serl;luo2025hilserl;stachowicz2023fastrlap;wurss2023locality","luo2024serl:R3/E2;luo2025hilserl:R3/E3;stachowicz2023fastrlap:R3/E3;wurss2023locality:R3/E3","Wall-clock falls only if compute, control and reset do not block each other; hardware and software integration become material costs.","GPU/control contention; JIT/startup delay; stale policies; nondeterministic timing; logging bottleneck"
