claim_id,work_id,metric_family,metric_name,value,unit,denominator,comparison_baseline,physical_platform,evidence_locator,source_grade,reporting_status,interpretation_limit
QE-EFF-0001,luo2024serl,time,reported_phase_duration,20 min PCB; 31 min cable; 105 min paired relocation,as reported (minutes/hours),source-reported phase/task summary; atomic boundaries are in time_ontology.csv,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,source_reported,Summary index only; values across phases or tasks must not be added. Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0002,luo2024serl,physical_interaction,physical_steps_or_transitions,NR,NR,NR,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0003,luo2024serl,physical_interaction,physical_episodes_or_rollouts,NR,NR,NR,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0004,luo2024serl,control,control_frequency,NR,NR,NR,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0005,luo2024serl,time,active_or_aggregate_robot_hours,NR,NR,NR,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0006,luo2024serl,time,elapsed_wall_clock,20; 31; 105 minutes as task/pair wall-clock,elapsed minutes/hours,"reported run or task; inclusion of setup, reset, compute, and downtime is source-specific",NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,source_reported,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0007,luo2024serl,parallelism,primary_data_robot_count,1,robots,primary learner or physical data-collection fleet; helper/reset/evaluation hardware is separated in hardware_roles.csv,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,source_reported,Elapsed speedup and aggregate robot-hours must be separated. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0008,luo2024serl,compute,reported_compute_resource_or_duration,1× RTX 4090,hardware or compute-time as reported,"reported training job, model, or online system",NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,source_reported,Compute descriptions are not hardware-normalized and missing compute is not zero. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0009,luo2024serl,human_input,demonstration_count,20,demonstrations/trajectories,per task or aggregate exactly as stated in value,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,source_reported,"Demonstration count does not report collection skill, duration, discarded attempts, or labeling cost. Relocation time covers two policies; full lifecycle cost not reported"
QE-EFF-0010,luo2024serl,evaluation,evaluation_trial_count,100,trials/rollouts/windows/checkpoints,reported task or policy evaluation,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Relocation time covers two policies; full lifecycle cost not reported
QE-EFF-0011,luo2024serl,performance,reported_success_result,100/100 on each listed task row,task-defined success/result,success definition recorded for the work,NR,Franka arm,"PDF p.8 Table 2; pp.4,8",A,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Relocation time covers two policies; full lifecycle cost not reported
