tier_rationale_id,work_id,assigned_tier,decision_rule,evidence_ids,usable_comparison,declared_target,denominator_quality,lifecycle_boundary,independent_replication,adjudication,rationale,evidence_locator
TR-EFF-001,luo2024serl,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0001;QE-EFF-0002,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.","PDF p.8 Table 2; pp.4,8"
TR-EFF-002,luo2025hilserl,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0012;QE-EFF-0013,yes,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.","PDF p.13 Table 1; pp.15,33–49"
TR-EFF-003,liu2026autoserl,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0023;QE-EFF-0024,yes,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.",PDF p.10 Table 1; p.12 Table 2; limitation section
TR-EFF-004,walke2023ariel,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0034;QE-EFF-0035,yes,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.",Main PDF pp.6–7; supplement p.14 Table 5
TR-EFF-005,sun2022relmm,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0045;QE-EFF-0046,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.","PDF pp.1–2,5–6; Table 1"
TR-EFF-006,hu2023reboot,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0056;QE-EFF-0057,yes,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.",PDF pp.7–8; appendix E/F p.20
TR-EFF-007,mendonca2025continuous,E1,E1_incomplete_or_single_setting,QE-EFF-0067;QE-EFF-0068,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Physical result is located, but comparison/repeat/boundary evidence is too incomplete for E2/E3.","PDF pp.4,7–8,16"
TR-EFF-008,stachowicz2023fastrlap,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0078;QE-EFF-0079,yes,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.","PDF pp.2–7,10; p.14 Table 4"
TR-EFF-009,hu2025robottrainsrobot,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0089;QE-EFF-0090,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.","PDF pp.2,6"
TR-EFF-010,sharma2026worldgymnast,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0100;QE-EFF-0101,yes,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.","PDF pp.4–7,15–16; appendix A.4 Table 5"
TR-EFF-011,zhao2025silri,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0111;QE-EFF-0112,yes,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.","PDF pp.5,7,9–10,13 Table II"
TR-EFF-012,yin2026playworld,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0122;QE-EFF-0123,yes,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.","PDF pp.2,4–7,10,23"
TR-EFF-013,dulacarnold2019challenges,E0,E0_context_only,NR,no,no,source-specific; see quantitative_evidence.csv,not_applicable_context,no,independent cross-review rule audit 2026-08-01,Context/measurement source; excluded from physical quantitative ranking.,Paper conceptual sections and modified control-suite testbed
TR-EFF-014,dulacarnold2021challenges,E0,E0_context_only,NR,no,no,source-specific; see quantitative_evidence.csv,not_applicable_context,no,independent cross-review rule audit 2026-08-01,Context/measurement source; excluded from physical quantitative ranking.,Article definitions and benchmark sections
