zero_basis_id,work_id,quantitative_evidence_id,zero_value,zero_scope,zero_basis,upstream_data_status,evidence_locator,interpretation_limit
ZERO-EFF-001,sun2022relmm,QE-EFF-0053,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,"2,000-step startup curriculum","PDF pp.1–2,5–6; Table 1","Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-002,mendonca2025continuous,QE-EFF-0075,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,"mapping, fiducials, fixed camera, RRT*/procedural priors","PDF pp.4,7–8,16","Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-003,hu2025robottrainsrobot,QE-EFF-0097,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,domain-randomized simulation; 50k real transitions for swing-up pretraining,"PDF pp.2,6","Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-004,haarnoja2019walk,QE-EFF-0141,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,none reported,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-005,tebbe2021tabletennis,QE-EFF-0163,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,30 random warm-up actions,PDF p.5 Sec. IV; p.6 Sec. V,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-006,wu2023daydreamer,QE-EFF-0174,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,none for main online runs,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-007,kalashnikov2018qtopt,QE-EFF-0185,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,existing grasp data are progressively aggregated,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-008,kalashnikov2022mtopt,QE-EFF-0196,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,continually accumulated multi-task fleet replay,"PDF p.1 abstract; pp.15–17 appendix, Table IV","Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-009,riedmiller2018sacx,QE-EFF-0207,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,none reported for lift from scratch,PDF p.8 Sec. 5.4 and physical-robot figure,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-010,singh2021cog,QE-EFF-0229,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,80k prior transitions/20 h plus 80k new-task transitions/34 h,PDF p.8 Sec. 5.2 and real-robot table,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-011,nair2018rig,QE-EFF-0262,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,none reported for main physical runs,PDF pp.8–9 Sec. 5.3,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-012,gupta2021resetfreemtl,QE-EFF-0273,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,none reported,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12","Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-013,yang2020dataefficientlegged,QE-EFF-0284,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,none reported,PDF p.2 contribution summary; p.8 conclusion,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-014,nagabandi2019metarl,QE-EFF-0295,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,random-policy data on three terrains plus model meta-training,PDF p.9 Sec. 5.4,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-015,cully2015adaptanimals,QE-EFF-0306,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,millions of simulated behaviors populate a repertoire before deployment,PDF p.1 abstract; Methods pp.18 and 20,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
ZERO-EFF-016,chatzilygeroudis2017blackdrops,QE-EFF-0317,0,target-task demonstrations only,original-source audit explicitly reports zero task demonstrations,one random physical episode initializes search,Correct PDF p.7 real-robot experiment; p.8 computational-cost discussion,"Zero task demonstrations does not imply zero prior data, simulation, autonomous data, reset demonstrations, engineering, or human labor."
