hardware_id,work_id,role,count,count_status,simultaneity,peak_system_robot_count,boundary,evidence_locator,interpretation_limit
HW-EFF-001,luo2024serl,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF p.8 Table 2; pp.4,8",Elapsed speedup and aggregate robot-hours must be separated. Relocation time covers two policies; full lifecycle cost not reported
HW-EFF-002,luo2025hilserl,learner,NR,not_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF p.13 Table 1; pp.15,33–49",Metric is NR in the verified source audit; NR is not zero. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
HW-EFF-003,liu2026autoserl,learner,NR,not_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.10 Table 1; p.12 Table 2; limitation section,Metric is NR in the verified source audit; NR is not zero. Preprint; restricted failure model; no end-to-end labor accounting
HW-EFF-004,walke2023ariel,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,Main PDF pp.6–7; supplement p.14 Table 5,Elapsed speedup and aggregate robot-hours must be separated. Inherited corpus totals are derived; method is mostly rather than fully autonomous
HW-EFF-005,sun2022relmm,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF pp.1–2,5–6; Table 1",Elapsed speedup and aggregate robot-hours must be separated. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
HW-EFF-006,hu2023reboot,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF pp.7–8; appendix E/F p.20,Elapsed speedup and aggregate robot-hours must be separated. Online loop autonomy begins after substantial setup; reset reliability is imperfect
HW-EFF-007,mendonca2025continuous,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF pp.4,7–8,16",Primary learner count is one; peak system hardware is two robots because a second robot resets the sweeping object.
HW-EFF-008,stachowicz2023fastrlap,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF pp.2–7,10; p.14 Table 4",Elapsed speedup and aggregate robot-hours must be separated. Headline under-20-minute claim must be kept beside longer plot horizon
HW-EFF-009,hu2025robottrainsrobot,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF pp.2,6",Elapsed speedup and aggregate robot-hours must be separated. Unclear whether 15 min includes all three swing-up stages; operator monitoring NR
HW-EFF-010,sharma2026worldgymnast,evaluation_only,NR,not_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF pp.4–7,15–16; appendix A.4 Table 5",The paper names real evaluation hardware but gives no numeric primary physical actor count for the in-model training result. NR is not zero.
HW-EFF-011,zhao2025silri,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF pp.5,7,9–10,13 Table II",Elapsed speedup and aggregate robot-hours must be separated. Operator-minutes/event counts absent; project page and arXiv v1 scope differ
HW-EFF-012,yin2026playworld,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF pp.2,4–7,10,23",Elapsed speedup and aggregate robot-hours must be separated. No method-specific code; end-to-end cost and reset metrics NR
HW-EFF-013,haarnoja2019walk,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,Elapsed speedup and aggregate robot-hours must be separated. Single reported hardware learning run; no uncertainty on time-to-threshold
HW-EFF-014,zhan2022ferm,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,Elapsed speedup and aggregate robot-hours must be separated. No study-wide robot-hour total or operator-time accounting
HW-EFF-015,tebbe2021tabletennis,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.5 Sec. IV; p.6 Sec. V,Elapsed speedup and aggregate robot-hours must be separated. Elapsed training time and repeated-run uncertainty are not reported
