claim_id,claim_text,claim_scope,work_ids,evidence_type,confidence,caveat,intended_section
CL-EFF-001,真机强化学习效率应作为资源向量报告；这些坐标是可能重叠的诊断视图，未经 inclusion matrix 去重和显式价格权重不得直接求和。,measurement definition; not an empirical effect size,dulacarnold2019challenges;dulacarnold2021challenges;zhou2023realorl;kalashnikov2018qtopt,definition_plus_cross_case_synthesis,high,各维度不能在没有显式价格权重时压成一个通用总分。,evaluation_framework
CL-EFF-002,分钟级或小时级真机学习已经在若干经过工程化的操控、行走和驾驶任务上被多次展示。,reported online phase on each paper's own task and threshold,yang2020dataefficientlegged;wurss2023locality;stachowicz2023fastrlap;luo2024serl;zhan2022ferm;lancaster2024modemv2;liu2026autoserl,multi_source_convergence,high,任务难度、成功阈值、reset、示范和前置工程不同；该主张不等于端到端生命周期只需几分钟。,taxonomy
CL-EFF-003,同一研究中的 robot-hours 与 wall-clock 只有在 actor 数量、并行度和 duty cycle 已披露时才能相互解释。,parallel or fleet physical collection,kalashnikov2018qtopt;kalashnikov2022mtopt;chebotar2023qtransformer;mendonca2025continuous,methodological_boundary,high,单机器人连续运行可近似相等，但仍需说明 reset、compute 和停机是否包含。,evaluation_framework
CL-EFF-004,机器人舰队主要提高日历吞吐，而不是消除 aggregate physical interaction 或硬件运营成本。,fleet-scale fixed-base manipulation,kalashnikov2018qtopt;kalashnikov2022mtopt;chebotar2023qtransformer,comparative_case_synthesis,high,不同工作对 fleet robot-hours、日历时长和维护披露不完整，不能估计统一加速比。,taxonomy
CL-EFF-005,offline RL 可以避免部署时在线探索，但继承了离线数据的真机时数、示范、失败样本、标签和策展成本。,physical-data offline and offline-to-online robot learning,singh2021cog;kumar2023ptr;chebotar2023qtransformer;zhou2023realorl;nair2020awac;walke2023ariel,multi_source_convergence,high,只有 Real-ORL 等少数工作较完整披露人时；其他工作的隐藏成本仍大量为 NR。,taxonomy
CL-EFF-006,world-model 方法通常减少 downstream physical exploration，同时把成本移到模型数据、GPU 训练和模型偏差控制。,learned dynamics or video-world methods with physical use/evaluation,wu2023daydreamer;lancaster2024modemv2;sharma2026worldgymnast;yin2026playworld,multi_source_convergence,moderate,四个系统的训练位置、数据来源和真实在线环节不同，不能合并成统一节省比例。,taxonomy
CL-EFF-007,demonstration bootstrap 能减少危险的随机探索，但 demonstration count 不能代表其真实人工成本。,demonstration-assisted physical learning,liu2026autoserl;zhan2022ferm;luo2024serl;luo2025hilserl;zhao2025silri;lancaster2024modemv2;sharma2023medalpp,multi_source_convergence,high,操作者技能、采集时长、废弃尝试、标签与失败状态覆盖通常未报告。,evaluation_framework
CL-EFF-008,在线人工干预可显著改善困难操控任务的学习与安全，但现有证据没有把持续监控换算成 operator-minutes。,human-in-the-loop manipulation,luo2025hilserl;zhao2025silri,two_study_convergence,moderate,只有两类相近系统；干预定义、操作者策略和基线不同。,research_gaps
CL-EFF-009,reset-free 或 continuous learning 并不等于无人维护；它通常依赖可逆任务循环、learned recovery、scripted fixture、换电或偶发人工救援。,long-running autonomous or reduced-reset physical RL,sun2022relmm;hu2023reboot;gupta2021resetfreemtl;sharma2023medalpp;mendonca2025continuous;liu2026autoserl,multi_source_convergence,high,维护频率与人工分钟大多为 NR，因此不能从训练小时直接推出 unattended duty cycle。,taxonomy
CL-EFF-010,快速 adaptation 与 from-scratch task learning 的分钟数不能直接排序，因为 adaptation 继承了 simulation repertoire、meta-training data 或 pretrained policy。,"post-damage, dynamics, or policy adaptation",cully2015adaptanimals;nagabandi2019metarl;hu2025robottrainsrobot,methodological_boundary,high,如果前置资产已为多次部署复用，可另行报告 amortized cost，但必须给出复用次数。,evaluation_framework
